+--------------+--------+------------+----------+------+-------+-------+-------+------+-------+-------+-------+-------+-------+
|     行业     |  代码  |    名称    | 涨幅统计 |  9   |   8   |   7   |   6   |  5   |   4   |   3   |   2   |   1   |   0   |
+--------------+--------+------------+----------+------+-------+-------+-------+------+-------+-------+-------+-------+-------+
|   消费电子   | 002855 |  捷荣技术  |  33.2%   |      |       |       |       |      |       |       | 10.0  | 10.1  | 10.0  |
|   通用设备   | 000530 |  冰山冷热  |  33.1%   | 10.1 | 10.1  | -3.2  | 10.0  | 1.7  | -4.5  |  2.9  | -0.2  |  1.2  |  2.1  |
|   环保行业   | 300335 |  迪森股份  |  33.1%   |      |       |       |       |      |       | 14.3  |  5.1  | 15.9  | -4.5  |
|   消费电子   | 002888 |  惠威科技  |  33.1%   |      |       |       |       |      |       |       | 10.0  | 10.0  | 10.0  |
|   文化传媒   | 603721 |  中广天择  |  33.1%   |      |       |       |       |      |       |       | 10.0  | 10.0  | 10.0  |
|   电网设备   | 002090 |  金智科技  |  32.9%   | 0.6  |  0.2  | -1.7  |  5.5  | 0.0  | 10.0  |  5.0  | -3.2  | 10.0  |  3.5  |
|     电机     | 002823 |  凯中精密  |  32.5%   | 3.0  | -1.0  |  0.2  | -0.9  | 0.5  | 10.0  | 10.0  |  0.6  |  8.3  | -1.3  |
|   装修建材   | 603389 |  亚振家居  |  32.2%   | -2.6 | -0.3  |  1.4  | 10.0  | 10.1 | 10.0  |  1.0  | -6.4  |  3.9  |  2.6  |
|   专用设备   | 000821 |  京山轻机  |  31.8%   | 5.1  | -5.2  |  1.4  |  4.3  | 2.0  |  0.6  | 10.0  |  5.3  | 10.0  | -4.4  |
|   光伏设备   | 688560 |  明冠新材  |  31.2%   |      |       |       |       |      |       |       | 11.0  |  5.9  | 11.7  |
|   电子元件   | 600152 |  维科技术  |  31.1%   | 2.2  | -3.8  |  0.0  |  4.9  | 10.0 |  4.3  | 10.0  |  0.5  |  6.9  | -6.3  |
|   软件开发   | 000503 |  国新健康  |  31.0%   |      | 10.1  | 10.1  |  5.8  | 5.2  | -2.2  |  3.4  | -1.9  |  1.5  | -3.5  |
|    半导体    | 301132 |   N满坤    |  30.6%   | 67.3 | -5.9  | -2.5  | -6.0  | -1.3 | -3.8  |  3.4  | -4.4  | -0.2  | -3.5  |
|   通用设备   | 300606 |   金太阳   |  30.5%   |      |       | 19.0  | -7.7  | 11.6 |  1.7  |  1.7  | -3.5  | -0.9  |  7.5  |
|    半导体    | 688699 |  明微电子  |  30.3%   | 20.0 |  7.0  |  4.8  | -5.5  | 0.4  |  0.3  | -4.5  |  1.5  | -2.3  |  7.5  |
|    半导体    | 688002 |  睿创微纳  |  30.0%   | 20.0 |  9.8  |  1.5  | -0.9  | 3.5  | -1.6  | -4.6  |  0.1  | -2.1  |  2.9  |
|   农药兽药   | 001231 |  农心科技  |  28.8%   |      |       |       |       |      |       |       | 10.0  | 10.0  |  6.5  |
|   工程机械   | 002272 |  川润股份  |  28.7%   | 10.0 | -2.5  | 10.1  | 10.1  | 10.0 | 10.0  | 10.0  | -10.0 | -8.2  | -9.9  |
|   消费电子   | 300735 |  光弘科技  |  28.7%   |      | 20.0  |  5.6  |  1.9  | 5.3  | -2.0  |  1.2  | -2.5  |  1.4  | -3.4  |
|    半导体    | 688661 |  和林微纳  |  28.5%   | 13.5 |  3.7  |  4.8  |  1.3  | 6.5  | -2.5  | -2.3  | -0.4  |  0.7  |  1.1  |
|   纺织服装   | 600107 |   美尔雅   |  28.4%   |      |       |       | 10.0  | 0.3  | 10.0  |  2.2  | -2.9  |  4.8  |  1.6  |
|   环保行业   | 688659 |  元琛科技  |  27.8%   | -0.8 |  1.4  |  6.4  |  2.1  | -5.3 |  5.6  | -1.9  | 20.0  | -1.7  |  0.9  |
|   光伏设备   | 603628 |  清源股份  |  27.7%   | 10.0 |  0.5  | -4.7  | 10.0  | 10.0 | -2.2  | 10.0  | -0.4  |  0.8  | -7.3  |
|   通用设备   | 002685 |  华东重机  |  27.3%   | 2.4  | -0.8  |  0.3  |  1.6  | 9.9  | -1.9  | 10.1  | -1.8  |  9.9  | -4.0  |
|   通用设备   | 002965 |  祥鑫科技  |  27.2%   | 3.0  |  6.7  | -1.3  | 10.0  | 3.4  | 10.0  | 10.0  | -0.5  | -4.8  | -10.0 |
|   电网设备   | 688248 |  南网科技  |  27.2%   | -6.5 |  9.4  |  3.4  |  1.1  | -3.0 | -3.9  | 11.0  |  3.7  |  0.7  | 10.2  |
|   化学制品   | 300721 |  怡达股份  |  27.1%   | 13.8 |  4.0  |  7.8  | -3.1  | 0.2  | -1.9  |  1.9  |  1.4  |  1.8  | -0.6  |
|   专用设备   | 002337 |  赛象科技  |  26.8%   | 10.0 | 10.0  |  9.9  | -9.9  | -3.4 | 10.0  |  1.8  |  5.8  |  0.7  | -8.0  |
|     电机     | 301023 |  江南奕帆  |  26.6%   | 3.0  | -1.2  | -1.6  |  3.7  | 1.0  |  8.6  |  6.8  |  1.2  | 10.2  | -6.6  |
|   医疗器械   | 300396 |  迪瑞医疗  |  26.4%   |      |       | 18.0  | -1.9  | 2.8  | -0.2  | -1.7  |  3.3  |  0.8  |  4.0  |
|    半导体    | 688200 |  华峰测控  |  26.3%   | 20.0 |  2.2  |  4.3  |  1.3  | 1.3  |  0.6  | -4.0  |  0.0  | -1.1  |  0.8  |
|  汽车零部件  | 002715 |  登云股份  |  26.3%   | 3.2  | -0.9  | -0.1  |  4.2  | 10.0 | -3.1  |  7.3  |  1.0  |  2.9  |  0.0  |
|   电源设备   | 688551 |   科威尔   |  26.2%   |      | 13.9  | -3.1  |  2.4  | 3.2  | -4.1  | -0.4  |  2.4  |  2.4  |  8.0  |
|   化学制品   | 605020 |  永和股份  |  25.6%   | 10.0 | -2.1  | -0.6  | -0.4  | 3.9  |  0.9  |  7.7  |  4.0  |  4.1  | -3.5  |
|   塑料制品   | 300806 |   斯迪克   |  25.5%   |      |       |       |       |      | 12.3  | 11.6  |  3.4  |  2.9  | -5.9  |
|   通用设备   | 688379 |  华光新材  |  25.5%   |      |       | 12.8  |  0.5  | 0.3  | -2.9  |  8.5  | -2.5  |  1.9  |  5.3  |
|   仪器仪表   | 688600 |  皖仪科技  |  25.0%   | 14.8 | -0.6  |  1.6  |  1.2  | 0.9  | -3.0  |  1.0  |  0.5  |  4.8  |  2.3  |
|   专用设备   | 688328 |   深科达   |  24.8%   |      | 20.0  | 13.3  | -4.7  | 3.5  | -2.6  | -4.0  |  8.2  | -3.4  | -4.8  |
|   电子元件   | 688371 |   菲沃泰   |  24.8%   |      |       |       | 20.0  | 2.2  | -4.4  | -1.5  | -4.1  |  1.9  | 10.7  |
|   航天航空   | 688070 |  纵横股份  |  24.6%   | 3.2  | 14.9  |  4.7  |  0.7  | -2.1 | -7.4  | 16.4  | -6.4  |  0.8  |  0.0  |
|   美容护理   | 300856 |  科思股份  |  24.3%   |      |       |       |       |      | 20.0  | -0.6  |  3.8  |  3.8  | -3.4  |
|   环保行业   | 688501 |  青达环保  |  24.3%   | 0.2  | -0.9  |  5.5  |  2.7  | -2.3 | -3.1  | 13.4  |  1.5  |  1.1  |  4.7  |
|   化学原料   | 301059 |   金三江   |  24.3%   | -1.4 | 20.0  | -2.2  |  3.7  | 2.0  | -2.9  | -3.6  |  8.9  |  5.3  | -5.3  |
|   仪器仪表   | 002175 |  东方网络  |  24.1%   | -2.1 |  1.2  | -1.2  |  5.0  | 0.3  |  1.2  | -2.6  | 10.0  |  0.8  | 10.1  |
|   光伏设备   | 688348 |  昱能科技  |  24.1%   |      |       |       |       |      |       |       | 10.7  | -0.5  | 12.6  |
|  光学光电子  | 002745 |   木林森   |  24.0%   | 0.7  |  5.2  |  1.6  |  5.8  | 6.2  | -1.7  |  4.3  | -3.3  | 10.0  | -5.9  |
|   航运港口   | 000520 |  长航凤凰  |  24.0%   |      |       |       |       |      |       |       | 10.2  | 10.1  |  2.3  |
|   家用轻工   | 002575 |  群兴玩具  |  23.8%   | 0.9  | -3.7  | 10.1  |  9.9  | 0.7  | -5.1  |  2.4  |  4.6  |  0.8  |  2.0  |
|   综合行业   | 000909 |  数源科技  |  23.4%   |      |       |       |       |      |       |       | 10.0  | 10.0  |  1.9  |
|   装修装饰   | 601886 |  江河集团  |  23.4%   | 10.1 |  6.7  |  6.3  |  3.2  | 0.2  | -0.1  |  0.4  | -1.3  |  4.1  | -7.3  |
|   专用设备   | 002837 |   英维克   |  23.4%   |      |       |       |       |      |       |  9.9  |  0.9  | 10.0  |  1.1  |
|   交运设备   | 000913 |  钱江摩托  |  23.3%   | 2.3  | -1.3  | -0.4  | 10.0  | 1.1  |  0.1  |  0.9  |  6.7  |  2.4  | -0.0  |
|   工程建设   | 002140 |  东华科技  |  23.1%   |      |       | 10.1  |  0.4  | 3.1  | 10.0  | -0.5  | -1.7  |  5.8  | -5.0  |
|   农牧饲渔   | 300673 |  佩蒂股份  |  23.1%   |      |       |       |       | 20.0 |  0.3  | -3.7  |  3.2  |  5.5  | -2.5  |
|   专用设备   | 301011 |  华立科技  |  23.1%   |      |       |       |       |      |       |       | 20.0  | -3.9  |  6.7  |
|   医疗器械   | 301097 |  天益医疗  |  23.0%   |      |       |       |       |      |       | 20.0  |  0.2  |  5.0  | -2.6  |
|   化学制品   | 300727 |  润禾材料  |  23.0%   | 20.0 | 10.5  | -6.0  |  1.0  | -2.2 | -5.5  |  0.7  |  0.3  |  2.2  |  2.3  |
|   光伏设备   | 688680 |  海优新材  |  22.8%   | -0.2 |  4.0  | 14.8  |  3.6  | 1.4  | -4.1  |  1.2  |  1.7  |  0.8  | -1.3  |
|   塑料制品   | 002632 |  道明光学  |  22.8%   |      |       |       |       |      |       | 10.0  | -1.9  |  3.3  | 10.0  |
|     电池     | 000049 |  德赛电池  |  22.6%   |      |       |       |       |      | 10.0  |  6.5  |  2.5  | 10.0  | -7.2  |
|  汽车零部件  | 300733 |  西菱动力  |  22.6%   |      |       |       | 12.8  | -1.8 |  5.4  |  9.0  | -0.4  |  1.6  | -4.8  |
|    半导体    | 688216 |  气派科技  |  22.5%   | 11.5 | -3.5  | 20.0  |  4.0  | 1.8  | -6.9  | -4.3  |  1.0  | -2.2  |  1.8  |
|   航运港口   | 600026 |  中远海能  |  22.4%   | -3.6 | -0.6  |  2.0  |  1.4  | 10.0 |  3.5  |  0.9  | 10.0  |  3.0  | -5.2  |
|     电池     | 688567 |  孚能科技  |  22.3%   |      |       |       |       |      |       | 10.1  |  2.4  |  5.4  |  3.0  |
|   专用设备   | 688001 |  华兴源创  |  22.3%   | 5.1  |  1.2  | -0.9  |  0.9  | 3.9  | -3.6  |  0.3  | -0.3  | 11.3  |  3.3  |
|   光伏设备   | 300316 |  晶盛机电  |  21.9%   |      |       |       | 12.0  | 0.6  | -0.1  | 10.4  | -0.5  |  1.7  | -3.1  |
|   消费电子   | 002351 |   漫步者   |  21.7%   |      | 10.1  | 10.0  |  0.3  | 3.4  | -2.9  | -1.0  | 10.0  | -2.6  | -5.9  |
|   化学原料   | 002469 |  三维化学  |  21.6%   |      |       |       |       |      | 10.0  | 10.0  | -2.6  | 10.0  | -6.3  |
|    半导体    | 688234 |  天岳先进  |  21.5%   | 10.1 | -5.0  |  3.4  | -4.5  | 1.2  | -5.4  | -1.0  |  1.4  |  2.0  | 20.0  |
|   电网设备   | 002270 |  华明装备  |  21.2%   |      |       | 10.0  | -2.7  | 6.1  | -2.2  |  2.6  |  3.4  |  1.0  |  1.9  |
|  汽车零部件  | 603768 |  常青股份  |  21.2%   | 2.8  | 10.0  |  5.7  |  1.2  | 0.0  | -3.2  |  1.9  |  1.8  |  3.6  | -3.7  |
|   商业百货   | 002264 |   新华都   |  21.2%   |      |       |       |       | 10.1 |  5.3  | -4.4  | -4.4  |  3.9  | 10.0  |
|   化学制品   | 600230 |  沧州大化  |  21.2%   |      |       | 10.0  | 10.0  | -0.1 | -2.5  | -5.3  |  5.6  |  5.7  | -2.8  |
|   交运设备   | 688187 |  时代电气  |  21.1%   | 20.0 | -5.0  | -0.0  | -3.4  | 1.6  | -2.4  |  1.6  |  0.6  |  1.0  |  7.5  |
|   光伏设备   | 600537 |  亿晶光电  |  21.1%   |      |       |       |       | 10.1 | 10.0  | 10.0  | -5.5  |  2.9  | -6.5  |
