+--------------+--------+------------+----------+-------+-------+-------+-------+-------+-------+-------+-------+-------+------+
|     行业     |  代码  |    名称    | 涨幅统计 |   9   |   8   |   7   |   6   |   5   |   4   |   3   |   2   |   1   |  0   |
|   电力行业   | 000537 |  广宇发展  |  28.8%   | -2.3  | -1.7  | -1.9  |  6.9  | -3.9  | -7.9  | 10.0  | 10.0  | 10.0  | 8.6  |
|   电子元件   | 002869 |  金溢科技  |  28.6%   | 10.0  |  5.0  |  2.9  |  0.7  | -7.5  |  4.3  | -0.6  | 10.0  |  0.0  | 1.9  |
|   化学制药   | 603676 |   卫信康   |  28.5%   |  0.9  | -1.7  | -3.6  | 10.0  | 10.0  |  6.3  | -4.2  | 10.0  |  1.1  | -2.0 |
|   专用设备   | 688290 |  景业智能  |  28.4%   |  0.1  |  3.1  | -0.3  | -5.0  | 13.8  |  3.3  |  5.4  |  0.7  | -4.1  | 9.7  |
|   通用设备   | 601369 |  陕鼓动力  |  28.3%   | -1.5  | -2.2  |  1.4  |  1.8  |  4.0  | 10.0  |  8.5  |  1.7  |  4.4  | -2.2 |
|  汽车零部件  | 300652 |   雷迪克   |  28.1%   |  4.8  | -3.0  | -2.0  |  5.2  |  0.1  |  0.7  |  4.8  | 18.9  | -1.0  | -1.6 |
|   有色金属   | 301266 |  宇邦新材  |  27.8%   | -3.1  |  2.8  |  4.3  |  4.0  | 10.7  | -1.3  | -0.1  | 12.3  | -2.6  | -0.9 |
|   通用设备   | 002896 |  中大力德  |  27.0%   | -6.0  |  1.9  | -7.5  | -0.9  |  6.1  | -2.1  | 10.0  | 10.0  | 10.0  | 4.6  |
|   石油行业   | 000819 |  岳阳兴长  |  26.8%   | -1.4  |  4.2  | -5.3  | -1.0  |  6.3  | 10.0  | 10.0  |  5.4  | -2.8  | 0.0  |
|  汽车零部件  | 002101 |  广东鸿图  |  26.7%   |  1.8  | -1.1  |  2.7  | -4.5  |  3.8  | 10.0  | 10.0  | -2.0  |  0.0  | 4.2  |
|   交运设备   | 301016 |   雷尔伟   |  25.5%   |  0.0  |  0.0  |  0.0  |  0.0  |  0.0  |  0.0  | 20.0  |  4.7  | -5.0  | 5.2  |
|  汽车零部件  | 300928 |  华安鑫创  |  25.0%   |  1.3  | -5.3  |  2.8  | -1.9  |  2.2  | 10.2  |  3.5  |  5.7  | -0.4  | 5.2  |
|   软件开发   | 301236 |  软通动力  |  24.8%   |  0.7  |  1.8  | -1.5  |  8.6  |  4.6  |  0.1  |  1.8  | 13.8  | -1.8  | -4.5 |
|   通用设备   | 003043 |  华亚智能  |  24.5%   | 10.0  | -10.0 | -7.6  | -2.9  |  5.3  | 10.0  |  5.9  | -0.7  |  4.5  | 10.0 |
|   风电设备   | 002487 |  大金重工  |  24.3%   | -4.3  |  5.5  |  5.7  |  5.5  | -2.1  | 10.0  |  0.3  | -1.6  |  8.4  | -4.1 |
|  计算机设备  | 300771 |  智莱科技  |  24.3%   |  0.9  | -1.2  | -1.9  |  0.8  |  1.6  | 20.0  |  0.1  |  5.7  | -2.0  | -0.4 |
|   通信设备   | 002897 |  意华股份  |  24.2%   |  3.3  | -0.7  | -0.4  |  4.2  |  4.0  | 10.0  |  7.5  | -2.6  | -3.4  | 0.9  |
|   仪器仪表   | 688768 |  容知日新  |  23.6%   |  5.2  | -2.2  | -1.2  | 10.0  |  3.3  | -2.5  | 13.5  | -2.2  | -0.1  | -0.9 |
